Symbol|Date|last|value1|date1|value2|date2|value3|date3|value4|date4|unit|currency|stock|financialSymbol
tsla:us:trade-debtors|2022-09-30T00:00:00|2192.0|2192.0|2022-09-30T00:00:00|2081.0|2022-06-30T00:00:00|2311.0|2022-03-31T00:00:00|1913.0|2021-12-31T00:00:00|E+06|$|tsla:us|trade-debtors
tsla:us:trade-creditors|2022-09-30T00:00:00|13897.0|13897.0|2022-09-30T00:00:00|11212.0|2022-06-30T00:00:00|11171.0|2022-03-31T00:00:00|10025.0|2021-12-31T00:00:00|E+06|$|tsla:us|trade-creditors
tsla:us:stock|2022-09-30T00:00:00|10327.0|10327.0|2022-09-30T00:00:00|8108.0|2022-06-30T00:00:00|6691.0|2022-03-31T00:00:00|5757.0|2021-12-31T00:00:00|E+06|$|tsla:us|stock
tsla:us:selling-and-administration-expenses|2022-09-30T00:00:00|961000000.0|961000000.0|2022-09-30T00:00:00|961000000.0|2022-06-30T00:00:00|992000000.0|2022-03-31T00:00:00|1494000000.0|2021-12-31T00:00:00||$|tsla:us|selling-and-administration-expenses
tsla:us:sales|2022-09-30T00:00:00|21454.0|21454.0|2022-09-30T00:00:00|16934.0|2022-06-30T00:00:00|18756.0|2022-03-31T00:00:00|17719.0|2021-12-31T00:00:00|E+06|$|tsla:us|sales
tsla:us:pre-tax-profit|2022-06-30T00:00:00|2835.0||2022-09-30T00:00:00|2835.0|2022-06-30T00:00:00|4044.0|2022-03-31T00:00:00|3193.0|2021-12-31T00:00:00|E+06|$|tsla:us|pre-tax-profit
tsla:us:pe|2022-06-30T00:00:00|95.515||2022-09-30T00:00:00|95.515|2022-06-30T00:00:00|91.021|2022-03-31T00:00:00|218.952|2021-12-31T00:00:00|||tsla:us|pe
tsla:us:outstanding-shares|2022-10-03T14:18:00|3133470045.0|3133470045.0|2022-10-03T00:00:00|||||||E+00||TSLA:US|outstanding-shares
tsla:us:ordinary-share-capital|2022-06-30T00:00:00|1.0||2022-09-30T00:00:00|1.0|2022-06-30T00:00:00|1.0|2022-03-31T00:00:00|1.0|2021-12-31T00:00:00|E+06|$|tsla:us|ordinary-share-capital
tsla:us:operating-profit|2022-09-30T00:00:00|3688.0|3688.0|2022-09-30T00:00:00|2464.0|2022-06-30T00:00:00|3603.0|2022-03-31T00:00:00|2613.0|2021-12-31T00:00:00|E+06|$|tsla:us|operating-profit
tsla:us:operating-expenses|2022-09-30T00:00:00|17766000000.0|17766000000.0|2022-09-30T00:00:00|14470000000.0|2022-06-30T00:00:00|15153000000.0|2022-03-31T00:00:00|15106000000.0|2021-12-31T00:00:00||$|tsla:us|operating-expenses
tsla:us:net-income|2022-09-30T00:00:00|3292.0|3292.0|2022-09-30T00:00:00|2256.0|2022-06-30T00:00:00|3313.0|2022-03-31T00:00:00|2326.0|2021-12-31T00:00:00|E+06|$|tsla:us|net-income
tsla:us:market-capitalization|2022-10-21T15:05:00|652.2318|831.153|2022-09-30T00:00:00|697.926|2022-06-30T00:00:00|1113.708|2022-03-31T00:00:00|1061.287|2021-12-31T00:00:00|E+09|$|tsla:us|market-capitalization
tsla:us:loan-capital|2022-09-30T00:00:00|2096.0|2096.0|2022-09-30T00:00:00|2898.0|2022-06-30T00:00:00|3153.0|2022-03-31T00:00:00|5245.0|2021-12-31T00:00:00|E+06|$|tsla:us|loan-capital
tsla:us:interest-income|2022-09-30T00:00:00|86000000.0|86000000.0|2022-09-30T00:00:00|26000000.0|2022-06-30T00:00:00|28000000.0|2022-03-31T00:00:00|25000000.0|2021-12-31T00:00:00|||tsla:us|interest-income
tsla:us:interest-expense-on-debt|2022-09-30T00:00:00|53.0|53.0|2022-09-30T00:00:00|44.0|2022-06-30T00:00:00|61.0|2022-03-31T00:00:00|71.0|2021-12-31T00:00:00|E+06|$|tsla:us|interest-expense-on-debt
tsla:us:gross-profit-on-sales|2022-09-30T00:00:00|5382.0|5382.0|2022-09-30T00:00:00|4234.0|2022-06-30T00:00:00|5460.0|2022-03-31T00:00:00|4847.0|2021-12-31T00:00:00|E+06|$|tsla:us|gross-profit-on-sales
tsla:us:equity-capital-and-reserves|2022-09-30T00:00:00|39851.0|39851.0|2022-09-30T00:00:00|36376.0|2022-06-30T00:00:00|34085.0|2022-03-31T00:00:00|30189.0|2021-12-31T00:00:00|E+06|$|tsla:us|equity-capital-and-reserves
tsla:us:eps|2022-09-30T00:00:00|0.95|0.95|2022-09-30T00:00:00|0.65|2022-06-30T00:00:00|0.953|2022-03-31T00:00:00|0.683|2021-12-31T00:00:00|E+00|$|tsla:us|eps
tsla:us:employees|2021-12-31T00:00:00|99290.0|99290.0|2022-09-30T00:00:00|70757.0|2022-06-30T00:00:00|48016.0|2022-03-31T00:00:00|48817.0|2021-12-31T00:00:00|||tsla:us|employees
tsla:us:ebitda|2022-09-30T00:00:00|4644.0|4644.0|2022-09-30T00:00:00|3528.0|2022-06-30T00:00:00|4483.0|2022-03-31T00:00:00|3461.0|2021-12-31T00:00:00|E+06|$|tsla:us|ebitda
tsla:us:ebit|2022-09-30T00:00:00|3688000000.0|3688000000.0|2022-09-30T00:00:00|2606000000.0|2022-06-30T00:00:00|3603000000.0|2022-03-31T00:00:00|2613000000.0|2021-12-31T00:00:00||$|tsla:us|ebit
tsla:us:debt|2022-09-30T00:00:00|3553.0|3553.0|2022-09-30T00:00:00|4430.0|2022-06-30T00:00:00|4812.0|2022-03-31T00:00:00|6834.0|2021-12-31T00:00:00|E+06|$|tsla:us|debt
tsla:us:current-liabilities|2022-09-30T00:00:00|24611.0|24611.0|2022-09-30T00:00:00|21821.0|2022-06-30T00:00:00|21455.0|2022-03-31T00:00:00|19705.0|2021-12-31T00:00:00|E+06|$|tsla:us|current-liabilities
tsla:us:current-assets|2022-09-30T00:00:00|35990.0|35990.0|2022-09-30T00:00:00|31222.0|2022-06-30T00:00:00|29050.0|2022-03-31T00:00:00|27100.0|2021-12-31T00:00:00|E+06|$|tsla:us|current-assets
tsla:us:cost-of-sales|2022-09-30T00:00:00|16072.0|16072.0|2022-09-30T00:00:00|12700.0|2022-06-30T00:00:00|13296.0|2022-03-31T00:00:00|12872.0|2021-12-31T00:00:00|E+06|$|tsla:us|cost-of-sales
tsla:us:cash-and-equivalent|2022-09-30T00:00:00|21107.0|21107.0|2022-09-30T00:00:00|18324.0|2022-06-30T00:00:00|17505.0|2022-03-31T00:00:00|17576.0|2021-12-31T00:00:00|E+06|$|tsla:us|cash-and-equivalent
tsla:us:assets|2022-09-30T00:00:00|74426.0|74426.0|2022-09-30T00:00:00|68513.0|2022-06-30T00:00:00|66038.0|2022-03-31T00:00:00|62131.0|2021-12-31T00:00:00|E+06|$|tsla:us|assets
